FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
4348,QC-2023-20231080384,QC, ,20231080384, ,46.3337,-75.4846,2023,6,3,2023-06-03,,2023-06-03 00:00:00,0.1,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4349,QC-2023-20231080389,QC, ,20231080389, ,46.3839,-72.516,2023,6,3,2023-06-03,,2023-06-03 00:00:00,0.1,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4350,QC-2023-20231080395,QC, ,20231080395, ,48.248,-78.3054,2023,6,3,2023-06-03,,2023-06-04 00:00:00,0.1,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4351,QC-2023-20231080396,QC, ,20231080396, ,47.6002,-74.65,2023,6,2,2023-06-02,,2023-06-06 00:00:00,0.7,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4352,QC-2023-20231080397,QC, ,20231080397, ,46.0299,-74.6917,2023,6,3,2023-06-03,,2023-06-05 00:00:00,0.4,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4353,QC-2023-20231080399,QC, ,20231080399, ,47.496,-76.6478,2023,6,3,2023-06-03,,2023-06-11 00:00:00,0.7,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4354,QC-2023-20231080401,QC, ,20231080401, ,46.9541,-74.2459,2023,6,3,2023-06-03,,2023-06-05 00:00:00,0.3,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4355,QC-2023-20231080402,QC, ,20231080402, ,48.7513,-76.465,2023,6,4,2023-06-04,,2023-06-07 00:00:00,8000.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4357,QC-2023-20231080406,QC, ,20231080406, ,48.933,-79.053,2023,6,3,2023-06-03,,2023-06-04 00:00:00,0.5,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4358,QC-2023-20231080410,QC, ,20231080410, ,49.3433,-71.5,2023,6,3,2023-06-03,,2023-06-22 00:00:00,1817.6,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4360,QC-2023-20231080415,QC, ,20231080415, ,46.3033,-75.474,2023,6,4,2023-06-04,,2023-06-04 00:00:00,0.2,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4361,QC-2023-20231080418,QC, ,20231080418, ,48.5694,-76.3225,2023,6,2,2023-06-02,,2023-06-18 00:00:00,2105.10919742,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4362,QC-2023-20231080419,QC, ,20231080419, ,48.725,-76.3147,2023,6,4,2023-06-04,,2023-06-07 00:00:00,350.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4363,QC-2023-20231080420,QC, ,20231080420, ,48.6904,-76.3569,2023,6,4,2023-06-04,,2023-06-07 00:00:00,450.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4364,QC-2023-20231080427,QC, ,20231080427, ,47.0835,-72.6519,2023,6,4,2023-06-04,,2023-06-06 00:00:00,0.2,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4365,QC-2023-20231080432,QC, ,20231080432, ,46.0595,-74.3324,2023,6,5,2023-06-05,,2023-06-05 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4366,QC-2023-20231080433,QC, ,20231080433, ,49.0639,-75.0464,2023,6,5,2023-06-05,,2023-07-04 00:00:00,726.3,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4368,QC-2023-20231080437,QC, ,20231080437, ,46.1941,-73.3621,2023,6,5,2023-06-05,,2023-06-05 00:00:00,0.1,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4369,QC-2023-20231080438,QC, ,20231080438, ,49.7385,-74.3092,2023,6,6,2023-06-06,,2023-06-07 00:00:00,1.7,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4370,QC-2023-20231080446,QC, ,20231080446, ,48.8891,-74.1911,2023,6,6,2023-06-06,,2023-06-07 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
