timestamp,co2[ppm],heartbeat[undefined],humidity[%],temperature[°F]
2023-11-19T22:08:49-05:00,960.6,---,43.06,65.9
2023-11-19T22:48:49-05:00,905.3,---,43.3,65.5
2023-11-19T23:25:49-05:00,830.7,---,43.57,64.6
2023-11-20T00:05:50-05:00,825.1,---,42.4,65.1
2023-11-20T00:45:50-05:00,700.9,---,42.95,63.1
2023-11-20T01:25:50-05:00,649.3,---,43.49,62.3
2023-11-20T02:05:50-05:00,607.3,---,43.44,61.8
2023-11-20T02:45:50-05:00,581.4,---,42.61,61.4
2023-11-20T03:25:50-05:00,554,---,42.74,60.7
2023-11-20T04:04:50-05:00,530.9,---,42.68,60.1
2023-11-20T04:40:00-05:00,---,---,---,---
2023-11-20T05:20:50-05:00,537.2,---,43.48,60.4
2023-11-20T06:00:51-05:00,793.8,---,42.77,64
2023-11-20T06:40:51-05:00,680,---,41.13,63.9
2023-11-20T07:20:51-05:00,620.7,---,39.84,64.3
2023-11-20T08:00:51-05:00,606,---,40.62,63.8
2023-11-20T08:40:51-05:00,772,---,41.94,64.9
2023-11-20T09:20:51-05:00,690.3,---,40.81,64.7
2023-11-20T10:00:51-05:00,643.3,---,39.82,64.2
2023-11-20T10:40:52-05:00,594.7,---,37.92,65.9
2023-11-20T11:20:52-05:00,574.7,---,35.5,69.2
2023-11-20T12:00:52-05:00,553.8,---,31.36,72
2023-11-20T12:41:52-05:00,541.3,---,31.06,72.3
2023-11-20T13:21:52-05:00,502.2,---,30.76,73.3
2023-11-20T14:01:52-05:00,523.5,---,30.58,72.8
2023-11-20T14:41:52-05:00,505.6,---,31.41,71.4
2023-11-20T15:21:52-05:00,509.4,---,33.04,69.6
2023-11-20T16:01:52-05:00,467.4,---,34.15,69.2
2023-11-20T16:41:52-05:00,656.8,---,35.94,68.2
2023-11-20T17:21:53-05:00,591.1,---,36.37,67.7
2023-11-20T18:01:53-05:00,566,---,36.96,66.7
2023-11-20T18:41:53-05:00,993.9,---,43,66
2023-11-20T19:21:53-05:00,1383.8,---,43.34,66.4
2023-11-20T20:01:53-05:00,1412.8,---,42.37,65.8
2023-11-20T20:42:53-05:00,1050.8,---,39.59,66.2
2023-11-20T21:22:53-05:00,953.5,---,39.55,66.4
2023-11-20T22:02:53-05:00,861.3,---,39.09,65.6
2023-11-20T22:42:53-05:00,844.5,---,40.41,64
2023-11-20T23:22:54-05:00,752.5,---,40.36,63
2023-11-21T00:02:54-05:00,683,---,40.42,62
2023-11-21T00:42:54-05:00,631.9,---,38.69,62.4
2023-11-21T01:22:54-05:00,590.8,---,40.09,60.5
2023-11-21T02:02:54-05:00,560,---,40.13,59.6
2023-11-21T02:42:54-05:00,562.5,---,38.1,61.3
2023-11-21T03:23:54-05:00,535,---,38.91,60
2023-11-21T04:04:55-05:00,524.3,---,39.19,59.6
2023-11-21T04:44:55-05:00,557,---,38.83,59.2
2023-11-21T05:24:55-05:00,553.9,---,39.65,62
2023-11-21T06:04:55-05:00,624.4,---,40.1,62.9
2023-11-21T06:44:55-05:00,555.9,---,37.27,63.1
2023-11-21T07:24:55-05:00,564,---,37.31,62.9
2023-11-21T08:04:55-05:00,590.2,---,37.21,64.4
2023-11-21T08:44:55-05:00,683.8,---,40.21,64.2
2023-11-21T09:24:55-05:00,615.3,---,37.57,64.2
2023-11-21T10:04:55-05:00,579.1,---,37.39,62.9
2023-11-21T10:44:56-05:00,594.3,---,37.85,62.2
2023-11-21T11:24:56-05:00,520.4,---,38.06,61.9
2023-11-21T12:05:56-05:00,537.1,---,36.6,63.3
2023-11-21T12:45:56-05:00,507.3,---,36.82,63.1
2023-11-21T13:25:56-05:00,537.8,---,37.44,63.2
2023-11-21T14:05:56-05:00,544.9,---,37.52,62.7
2023-11-21T14:45:56-05:00,526.8,---,38.01,62.1
2023-11-21T15:23:56-05:00,502.5,---,37.66,62.2
2023-11-21T15:58:57-05:00,---,---,39.58,64.8
2023-11-21T16:32:57-05:00,625.3,---,40,66
2023-11-21T17:09:57-05:00,704.4,---,39.91,65.7
2023-11-21T17:47:57-05:00,879.7,---,41.02,64.9
2023-11-21T18:27:57-05:00,1433.7,---,48.93,66.9
2023-11-21T19:08:57-05:00,1892.6,---,52.72,66.9
2023-11-21T19:48:58-05:00,1482.3,---,47.18,66.9
2023-11-21T20:28:58-05:00,1301.7,---,47.68,66.9
2023-11-21T21:08:58-05:00,1243.7,---,45.26,67.2
2023-11-21T21:48:59-05:00,1182.5,---,43.38,67.4
2023-11-21T22:28:58-05:00,1225.3,---,44.35,66.8
2023-11-21T23:08:58-05:00,1160.9,---,43.34,66.4
2023-11-21T23:48:59-05:00,1020.9,---,42.52,66.6
2023-11-22T00:28:59-05:00,1022.1,---,42.47,67
2023-11-22T01:08:59-05:00,929.5,---,41.97,66.8
2023-11-22T01:48:59-05:00,855.8,---,41.94,65.9
